index,parent_company,company,trading_name,ticker,industry,region,product,exposure_type,material_or_driver,usage_reason,sensitivity,exposure_weight,source_url,modeling_note
10,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Delta Air Lines,DAL,Airlines,United States / Global,Passenger air travel,consumer,Jet fuel prices,"Jet fuel is a major airline operating expense; higher fuel prices can pressure costs unless offset by pricing, hedging, refinery economics or operational measures.",-1.0,0.95,https://ir.delta.com/news/news-details/2026/Delta-Air-Lines-Announces-June-Quarter-2026-Financial-Results/default.aspx,Demo sensitivity/weight; not company guidance.
11,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Delta Air Lines,DAL,Airlines,United States / Global,International passenger network,consumer,Oil supply disruption,Persistent energy-supply disruption can increase fuel costs and add operational uncertainty to international aviation.,-0.7,0.6,https://ir.delta.com/news/news-details/2026/Delta-Air-Lines-Announces-March-Quarter-2026-Financial-Results/default.aspx,Demo sensitivity/weight; not company guidance.
12,JPMorgan Chase & Co.,JPMorgan Chase & Co.,JPMorgan Chase,JPM,Banking / Financial Services,United States / Global,Loans and deposits,mixed,Interest rates,"Interest rates affect net interest income, deposit pricing, loan demand, securities values and credit behavior; the net effect can vary by rate level and balance-sheet mix.",0.3,0.65,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2026/2nd-quarter/9e8f3cef-bd2a-4140-b50f-83c4fba3f23c.pdf,Demo net sensitivity/weight; intentionally modest because bank rate exposure is multi-directional.
13,JPMorgan Chase & Co.,JPMorgan Chase & Co.,JPMorgan Chase,JPM,Banking / Financial Services,United States / Global,Consumer and commercial credit,consumer,Labor market weakness,"A weaker labor market can reduce borrowing activity and raise credit-quality risk, depending on unemployment, wages and borrower resilience.",-0.6,0.55,https://www.jpmorganchase.com/ir/annual-report/2025/ar-ceo-letters,Demo sensitivity/weight; not company guidance.
14,Visa Inc.,Visa Inc.,Visa,V,Digital Payments,United States / Global,Payment network,beneficiary,Consumer spending,Higher consumer and commercial payment activity generally supports payment-volume and transaction growth.,0.9,0.85,https://annualreport.visa.com/financials/default.aspx,Demo sensitivity/weight; not company guidance.
15,Visa Inc.,Visa Inc.,Visa,V,Digital Payments,United States / Global,Payment network,consumer,Interest rates,Higher borrowing costs can indirectly weigh on discretionary spending and transaction activity; the relationship is indirect and can be offset by nominal spending growth.,-0.25,0.35,https://usa.visa.com/partner-with-us/visa-consulting-analytics/spending-momentum-index.html,Demo indirect sensitivity/weight; not company guidance.
16,Nucor Corporation,Nucor Corporation,Nucor,NUE,Steel Manufacturing,United States / North America,Steel products,producer,Steel import tariffs,"Trade policy can affect imported steel competition, domestic pricing and demand for domestically produced steel.",0.75,0.75,https://investors.nucor.com/files/doc_financials/SEC/2026/q1/NUCOR-CORP-Form_-10-Q-Received_-05_13_2026-09_45_26.pdf,Demo sensitivity/weight; actual impact varies by product and demand.
17,Nucor Corporation,Nucor Corporation,Nucor,NUE,Steel Manufacturing,United States / North America,Steel products,producer,Domestic steel prices,Higher realized steel prices can support steel-mill revenue and earnings when volumes and input costs are supportive.,0.65,0.7,https://investors.nucor.com/news/news-details/2026/Nucor-Reports-Results-for-the-First-Quarter-of-2026/default.aspx,Demo sensitivity/weight; not company guidance.
18,Ford Motor Company,Ford Motor Company,Ford,F,Automotive,United States / Global,Vehicles,consumer,Steel and aluminum input costs,"Steel and aluminum are important vehicle materials; higher input costs can pressure manufacturing economics unless offset by contracts, recycling, design or pricing.",-0.8,0.65,https://corporate.ford.com/acslibs/content/dam/na/ford/en_us/documents/corporate/legal/Responsible_Material_Sourcing_Policy-2026_FINAL.pdf,Demo sensitivity/weight; not company guidance.
19,Ford Motor Company,Ford Motor Company,Ford,F,Automotive,United States / Global,Vehicles and imported components,consumer,Steel and aluminum tariffs,Higher tariffs on metal-intensive imports can raise certain sourcing costs; reductions in derivative-product tariffs can ease some downstream import costs.,-0.45,0.5,https://corporate.ford.com/content/dam/na/ford/en_us/documents/corporate/reports/2026-integrated-sustainability-and-financial-report.pdf,Demo sensitivity/weight; actual tariff exposure depends on sourcing and product content.
